Relative_Date,Stock markets,Values
-34,Values_BRA,-0.38
-33,Values_ARG,-0.38
-33,Values_FR,-0.01
-33,Values_DE,-0.01
-33,Values_ES,-0.01
-33,Values_IT,-0.01
-33,Values_BRA,-0.01
-32,Values_ARG,1.51
-32,Values_FR,1.39
-32,Values_DE,0.21
-32,Values_ES,-1.44
-32,Values_IT,-0.18
-32,Values_BRA,1.7
-31,Values_ARG,1.62
-31,Values_FR,-0.48
-31,Values_DE,0.2
-31,Values_ES,-1.43
-31,Values_IT,-1.85
-31,Values_BRA,-0.03
-30,Values_ARG,-0.68
-30,Values_FR,-0.68
-30,Values_DE,-0.79
-30,Values_ES,2.29
-30,Values_IT,0.93
-30,Values_BRA,2.11
-29,Values_ARG,0.75
-29,Values_FR,0.75
-29,Values_DE,-0.11
-29,Values_ES,3.72
-29,Values_IT,-2.26
-29,Values_BRA,-2.26
-28,Values_ARG,1.28
-28,Values_FR,-0.93
-28,Values_DE,-0.26
-28,Values_ES,3.95
-28,Values_IT,1.47
-28,Values_BRA,-0.58
-27,Values_ARG,-0.58
-27,Values_FR,-1.1
-27,Values_DE,-1.1
-27,Values_ES,-1.1
-27,Values_IT,-1.1
-27,Values_BRA,-1.1
-26,Values_ARG,-1.1
-26,Values_FR,-0.34
-26,Values_DE,-0.34
-26,Values_ES,-0.34
-26,Values_IT,-0.34
-26,Values_BRA,-0.34
-25,Values_ARG,-0.34
-25,Values_FR,-1.05
-25,Values_DE,-0.29
-25,Values_ES,0.23
-25,Values_IT,-1.12
-25,Values_BRA,-2.18
-24,Values_ARG,0.58
-24,Values_FR,1.34
-24,Values_DE,0.37
-24,Values_ES,1.65
-24,Values_IT,-1.4
-24,Values_BRA,-0.71
-23,Values_ARG,0.25
-23,Values_FR,0.25
-23,Values_DE,0.1
-23,Values_ES,-0.6
-23,Values_IT,-0.22
-23,Values_BRA,0.58
-22,Values_ARG,1.5
-22,Values_FR,1.5
-22,Values_DE,0.74
-22,Values_ES,0.74
-22,Values_IT,1.93
-22,Values_BRA,-4.13
-21,Values_ARG,1.73
-21,Values_FR,-1.92
-21,Values_DE,-0.17
-21,Values_ES,2.22
-21,Values_IT,-0.82
-21,Values_BRA,1.43
-20,Values_ARG,1.43
-20,Values_FR,-0.05
-20,Values_DE,-0.05
-20,Values_ES,-0.05
-20,Values_IT,-0.05
-20,Values_BRA,-0.05
-19,Values_ARG,-0.05
-19,Values_FR,0.87
-19,Values_DE,0.87
-19,Values_ES,0.87
-19,Values_IT,0.87
-19,Values_BRA,0.87
-18,Values_ARG,0.34
-18,Values_FR,-0.97
-18,Values_DE,-0.66
-18,Values_ES,1
-18,Values_IT,-0.22
-18,Values_BRA,2.06
-17,Values_ARG,2.38
